y,b,media_estrategias_mantidas,std_estrategias_mantidas
9,30,2.0,0.0
10,26,2.0,0.0
10,27,2.0,0.0
10,28,2.0,0.0
10,29,2.0,0.0
10,30,2.0,0.0
6,31,1.99,0.0999999999999999
6,32,1.95,0.2190429135575903
6,33,1.89,0.3144660377352201
6,34,1.8,0.4020151261036848
6,35,1.61,0.4902071300001974
7,31,1.99,0.0999999999999999
7,32,1.95,0.2190429135575903
7,33,1.89,0.3144660377352201
7,34,1.8,0.4020151261036848
7,35,1.61,0.4902071300001974
8,31,1.99,0.0999999999999999
8,32,1.95,0.2190429135575903
8,33,1.89,0.3144660377352201
8,34,1.8,0.4020151261036848
8,35,1.61,0.4902071300001974
9,31,1.99,0.0999999999999999
9,32,1.96,0.1969463855669323
9,33,1.91,0.2876234912646613
9,34,1.82,0.3861229196653691
9,35,1.62,0.4878317312145636
10,31,1.99,0.0999999999999999
10,32,1.96,0.1969463855669323
10,33,1.92,0.2726599243442907
10,34,1.83,0.3775251680686369
10,35,1.65,0.4793724854411024
6,36,1.53,0.5016135580465918
6,37,1.54,0.5009082659620331
6,38,1.63,0.4852365870939097
6,39,1.69,0.4648231987117317
6,40,1.71,0.4560480215720687
7,36,1.53,0.5016135580465918
7,37,1.54,0.5009082659620331
7,38,1.63,0.4852365870939097
7,39,1.69,0.4648231987117317
7,40,1.71,0.4560480215720687
8,36,1.53,0.5016135580465918
8,37,1.54,0.5009082659620331
8,38,1.63,0.4852365870939097
8,39,1.69,0.4648231987117317
8,40,1.71,0.4560480215720687
9,36,1.56,0.498887651569859
9,37,1.57,0.497569851956243
9,38,1.63,0.4852365870939097
9,39,1.71,0.4560480215720686
9,40,1.71,0.4560480215720687
10,36,1.57,0.497569851956243
10,37,1.62,0.4878317312145633
10,38,1.65,0.4793724854411023
10,39,1.73,0.4461960433384737
10,40,1.74,0.4408440022768081
6,41,1.76,0.4292346959909278
6,42,1.75,0.4351941398892445
7,41,1.76,0.4292346959909278
7,42,1.75,0.4351941398892445
8,41,1.76,0.4292346959909278
8,42,1.75,0.4351941398892445
