y,b,prop_B_mantida,prop_O_mantida,prop_Y_mantida
6,15,0.0,1.0,0.0
7,11,1.0,1.0,1.0
7,12,0.45,0.86,0.58
7,13,0.03,0.98,0.05
7,14,0.02,1.0,0.02
7,15,0.0,1.0,0.0
8,11,1.0,1.0,1.0
8,12,0.45,0.86,0.58
8,13,0.03,0.98,0.05
8,14,0.02,1.0,0.02
8,15,0.0,1.0,0.0
9,11,1.0,0.99,0.99
9,12,0.78,0.92,0.86
9,13,0.1,0.98,0.12
9,14,0.02,1.0,0.02
9,15,0.0,1.0,0.0
10,11,1.0,1.0,1.0
10,12,0.95,1.0,0.95
10,13,0.27,1.0,0.27
10,14,0.05,1.0,0.05
10,15,0.0,1.0,0.0
6,16,0.0,1.0,0.0
6,17,0.0,1.0,0.0
6,18,0.0,1.0,0.0
6,19,1.0,1.0,0.0
6,20,0.0,1.0,0.0
7,16,0.0,1.0,0.0
7,17,0.0,1.0,0.0
7,18,0.0,1.0,0.0
7,19,1.0,1.0,0.0
7,20,0.0,1.0,0.0
8,16,0.0,1.0,0.0
8,17,0.0,1.0,0.0
8,18,0.0,1.0,0.0
8,19,1.0,1.0,0.0
8,20,0.0,1.0,0.0
9,16,0.0,1.0,0.0
9,17,0.0,1.0,0.0
9,18,0.0,1.0,0.0
9,19,1.0,1.0,0.0
9,20,0.0,1.0,0.0
10,16,0.0,1.0,0.0
10,17,0.0,1.0,0.0
10,18,0.0,1.0,0.0
10,19,1.0,1.0,0.0
10,20,0.0,1.0,0.0
6,21,1.0,1.0,0.0
6,22,1.0,1.0,0.0
6,23,1.0,1.0,0.0
6,24,1.0,1.0,0.0
6,25,1.0,1.0,0.0
7,21,1.0,1.0,0.0
7,22,1.0,1.0,0.0
7,23,1.0,1.0,0.0
7,24,1.0,1.0,0.0
7,25,1.0,1.0,0.0
8,21,1.0,1.0,0.0
8,22,1.0,1.0,0.0
8,23,1.0,1.0,0.0
8,24,1.0,1.0,0.0
8,25,1.0,1.0,0.0
9,21,1.0,1.0,0.0
9,22,1.0,1.0,0.0
9,23,1.0,1.0,0.0
9,24,1.0,1.0,0.0
9,25,1.0,1.0,0.0
10,21,1.0,1.0,0.0
10,22,1.0,1.0,0.0
10,23,1.0,1.0,0.0
10,24,1.0,1.0,0.0
10,25,1.0,1.0,0.0
6,26,1.0,1.0,0.0
6,27,1.0,1.0,0.0
6,28,1.0,1.0,0.0
6,29,1.0,1.0,0.0
6,30,1.0,1.0,0.0
7,26,1.0,1.0,0.0
7,27,1.0,1.0,0.0
7,28,1.0,1.0,0.0
7,29,1.0,1.0,0.0
7,30,1.0,1.0,0.0
8,26,1.0,1.0,0.0
8,27,1.0,1.0,0.0
8,28,1.0,1.0,0.0
8,29,1.0,1.0,0.0
8,30,1.0,1.0,0.0
9,26,1.0,1.0,0.0
9,27,1.0,1.0,0.0
9,28,1.0,1.0,0.0
9,29,1.0,1.0,0.0
9,30,1.0,1.0,0.0
10,26,1.0,1.0,0.0
10,27,1.0,1.0,0.0
10,28,1.0,1.0,0.0
