y,o,media_estrategias_mantidas,std_estrategias_mantidas
9,20,1.0,0.0
10,16,1.0,0.0
10,17,1.0,0.0
10,18,1.0,0.0
10,19,1.0,0.0
10,20,1.0,0.0
6,21,2.0,0.0
6,22,2.0,0.0
6,23,2.0,0.0
6,24,2.0,0.0
6,25,2.0,0.0
7,21,2.0,0.0
7,22,2.0,0.0
7,23,2.0,0.0
7,24,2.0,0.0
7,25,2.0,0.0
8,21,2.0,0.0
8,22,2.0,0.0
8,23,2.0,0.0
8,24,2.0,0.0
8,25,2.0,0.0
9,21,1.0,0.0
9,22,1.0,0.0
9,23,1.37,0.4852365870939097
9,24,1.39,0.4902071300001971
9,25,2.0,0.0
10,21,1.0,0.0
10,22,1.0,0.0
10,23,1.0,0.0
10,24,1.0,0.0
10,25,1.0,0.0
6,26,2.0,0.0
6,27,2.0,0.0
6,28,2.0,0.0
6,29,2.0,0.0
6,30,2.0,0.0
7,26,2.0,0.0
7,27,2.0,0.0
7,28,2.0,0.0
7,29,2.0,0.0
7,30,2.0,0.0
8,26,2.0,0.0
8,27,2.0,0.0
8,28,2.0,0.0
8,29,2.0,0.0
8,30,2.0,0.0
9,26,2.0,0.0
9,27,2.0,0.0
9,28,2.0,0.0
9,29,2.0,0.0
9,30,2.0,0.0
10,26,1.0,0.0
10,27,1.0,0.0
10,28,1.23,0.4229525846816507
10,29,2.0,0.0
10,30,2.0,0.0
6,31,2.0,0.0
6,32,1.97,0.1714466079977653
6,33,1.96,0.1969463855669324
6,34,1.85,0.3588702812826366
6,35,1.71,0.4560480215720686
7,31,2.0,0.0
7,32,1.97,0.1714466079977653
7,33,1.96,0.1969463855669324
7,34,1.86,0.348735088019777
7,35,1.71,0.4560480215720686
8,31,2.0,0.0
8,32,1.97,0.1714466079977653
8,33,1.96,0.1969463855669324
8,34,1.86,0.348735088019777
8,35,1.71,0.4560480215720686
9,31,2.0,0.0
9,32,1.99,0.0999999999999999
9,33,1.99,0.1
9,34,1.92,0.2726599243442907
9,35,1.84,0.3684529491774707
10,31,2.0,0.0
10,32,2.0,0.0
10,33,2.0,0.0
10,34,1.97,0.1714466079977652
10,35,1.92,0.2726599243442907
6,36,1.58,0.4960449637488582
6,37,1.65,0.4793724854411024
6,38,1.71,0.4560480215720686
6,39,1.73,0.4461960433384737
6,40,1.79,0.4093601807403323
7,36,1.58,0.4960449637488582
7,37,1.65,0.4793724854411024
7,38,1.71,0.4560480215720686
7,39,1.73,0.4461960433384737
7,40,1.79,0.4093601807403323
8,36,1.58,0.4960449637488582
8,37,1.65,0.4793724854411024
8,38,1.71,0.4560480215720686
8,39,1.73,0.4461960433384737
8,40,1.79,0.4093601807403323
9,36,1.67,0.4725815626252608
9,37,1.77,0.4229525846816507
9,38,1.8,0.4020151261036848
9,39,1.85,0.3588702812826366
9,40,1.92,0.2726599243442907
10,36,1.78,0.4163331998932265
10,37,1.88,0.3265986323710904
10,38,1.88,0.3265986323710904
10,39,1.93,0.2564323999762427
10,40,1.94,0.238683256575942
6,41,1.83,0.3775251680686369
6,42,1.83,0.3775251680686369
7,41,1.83,0.3775251680686369
7,42,1.83,0.3775251680686369
8,41,1.83,0.3775251680686369
8,42,1.83,0.3775251680686369
9,41,1.92,0.2726599243442907
9,42,1.93,0.2564323999762428
10,41,1.98,0.1407052941362897
10,42,1.98,0.1407052941362897
6,41,1.83,0.3775251680686369
6,42,1.83,0.3775251680686369
7,41,1.83,0.3775251680686369
7,42,1.83,0.3775251680686369
8,41,1.83,0.3775251680686369
8,42,1.83,0.3775251680686369
9,41,1.92,0.2726599243442907
9,42,1.93,0.2564323999762428
10,41,1.98,0.1407052941362897
10,42,1.98,0.1407052941362897
11,1,2.73,0.5096047190685832
11,2,2.76,0.6531972647421809
11,3,2.87,0.4852365870939097
11,4,2.98,0.1999999999999999
11,5,2.98,0.1999999999999999
12,1,1.41,0.668104510060841
12,2,1.46,0.8459051693633014
12,3,1.54,0.8923920866769471
12,4,1.7,0.9587449708822046
12,5,1.72,0.9648363026488436
13,1,1.03,0.2227015033536136
13,2,1.04,0.2814105882725793
13,3,1.02,0.1999999999999999
13,4,1.02,0.1999999999999999
13,5,1.02,0.1999999999999999
14,1,1.0,0.0
14,2,1.0,0.0
14,3,1.0,0.0
14,4,1.0,0.0
14,5,1.0,0.0
15,1,1.0,0.0
15,2,1.0,0.0
15,3,1.0,0.0
15,4,1.0,0.0
15,5,1.0,0.0
11,6,2.98,0.1999999999999999
11,7,2.98,0.1999999999999999
11,8,2.98,0.1999999999999999
11,9,3.0,0.0
11,10,3.0,0.0
12,6,1.7,0.9587449708822045
12,7,1.72,0.9648363026488436
12,8,1.72,0.9648363026488436
12,9,2.58,0.8187203614806646
12,10,2.74,0.6759953379792623
13,6,1.01,0.0999999999999999
13,7,1.01,0.0999999999999999
13,8,1.01,0.0999999999999999
13,9,1.2,0.6030226891555273
13,10,1.54,0.8923920866769474
14,6,1.0,0.0
14,7,1.0,0.0
14,8,1.0,0.0
14,9,1.0,0.0
14,10,1.0,0.0
15,6,1.0,0.0
15,7,1.0,0.0
15,8,1.0,0.0
15,9,1.0,0.0
15,10,1.0,0.0
11,11,3.0,0.0
11,12,2.78,0.6289320754704405
11,13,1.5,0.8703882797784891
11,14,1.14,0.5128647999524857
11,15,1.0,0.0
12,11,2.68,0.7369058983549412
12,12,2.16,0.9920899274977164
12,13,1.44,0.8326663997864531
12,14,1.06,0.3428932159955306
12,15,1.02,0.2
13,11,1.54,0.8923920866769474
13,12,1.46,0.8459051693633015
13,13,1.1,0.4380858271151807
13,14,1.03,0.2227015033536136
13,15,1.02,0.1407052941362896
14,11,1.12,0.4773665131518841
14,12,1.07,0.3554766326548573
14,13,1.02,0.1999999999999999
14,14,1.0,0.0
14,15,1.08,0.307482445914323
15,11,1.02,0.2
15,12,1.02,0.1999999999999999
15,13,1.0,0.0
15,14,1.02,0.1407052941362896
15,15,1.15,0.3588702812826367
11,16,1.0,0.0
11,17,1.0,0.0
11,18,1.0,0.0
11,19,1.0,0.0
11,20,1.0,0.0
12,16,1.0,0.0
