y,o,media_estrategias_mantidas,std_estrategias_mantidas
40,27,1.72,0.4512608598542129
40,28,1.66,0.4760952285695233
40,29,1.57,0.49756985195624287
40,30,1.48,0.5021167315686783
40,31,1.42,0.49604496374885826
40,32,1.4,0.49236596391733095
40,33,1.37,0.4852365870939098
40,34,1.39,0.4902071300001973
40,35,1.35,0.47937248544110217
40,36,1.28,0.451260859854213
40,37,1.27,0.44619604333847385
40,38,1.25,0.43519413988924477
40,39,1.22,0.41633319989322665
40,40,1.19,0.3942772444036625
40,41,1.16,0.3684529491774708
40,42,1.16,0.3684529491774707
41,25,1.89,0.3144660377352201
41,26,1.87,0.33799766898963113
41,27,1.83,0.3775251680686369
41,28,1.72,0.451260859854213
41,29,1.63,0.4852365870939097
41,30,1.48,0.5021167315686783
41,31,1.44,0.49888765156985876
41,32,1.45,0.5
41,33,1.44,0.49888765156985876
41,34,1.45,0.5
41,35,1.42,0.49604496374885815
41,36,1.39,0.4902071300001971
41,37,1.41,0.4943110704237104
41,38,1.4,0.49236596391733095
41,39,1.37,0.4852365870939097
41,40,1.3,0.46056618647183833
41,41,1.27,0.4461960433384737
41,42,1.26,0.4631905164675273
42,25,1.91,0.2876234912646613
42,26,1.87,0.33799766898963113
42,27,1.8,0.40201512610368473
42,28,1.73,0.4461960433384737
42,29,1.66,0.47609522856952324
42,30,1.59,0.4943110704237103
42,31,1.6,0.49236596391733073
42,32,1.64,0.4824181513244218
42,33,1.61,0.4902071300001973
42,34,1.6,0.49236596391733095
42,35,1.58,0.49604496374885826
42,36,1.55,0.5000000000000001
42,37,1.56,0.4988876515698587
42,38,1.53,0.5016135580465918
42,39,1.53,0.5016135580465919
42,40,1.46,0.500908265962033
42,41,1.42,0.4960449637488582
42,42,1.4,0.5124707431905383
