pop,t,freq_O,freq_Y,freq_B,r_mean,r_O,r_Y,r_B
0,30,0.317,0.3392,0.3438,3.9192,3.8958990536277605,3.982311320754717,3.8784176847004073
0,31,0.3169,0.3337,0.3494,3.9428,3.929315241401073,3.9943062631105786,3.905838580423583
0,32,0.3069,0.3243,0.3688,3.9277,3.922124470511567,3.9821153253160655,3.8844902386117135
0,33,0.3056,0.3187,0.3757,3.9228,3.898887434554974,3.9818010668340134,3.892201224381155
0,34,0.3241,0.3257,0.3502,3.9241,3.8685590867016355,3.9821922014123428,3.9214734437464305
0,35,0.3323,0.3377,0.33,3.9303,3.8603671381281974,3.9786793011548713,3.951212121212121
0,36,0.3123,0.374,0.3137,3.9081,3.8309317963496636,3.975133689839572,3.905004781638508
0,37,0.2757,0.4074,0.3169,3.9292,3.871599564744287,3.9828178694158076,3.9103818239192174
0,38,0.2778,0.381,0.3412,3.9203,3.8797696184305255,3.951968503937008,3.917936694021102
0,39,0.2778,0.3593,0.3629,3.9311,3.851691864650828,3.971333147787364,3.9520529071369523
0,40,0.3112,0.3353,0.3535,3.9208,3.8560411311053984,3.9254399045630777,3.9734087694483735
0,41,0.3388,0.3388,0.3224,3.9114,3.8524203069657617,3.938606847697757,3.944789081885856
0,42,0.3453,0.344,0.3107,3.9027,3.8369533738777872,3.9363372093023257,3.9385259092372062
0,43,0.3178,0.357,0.3252,3.9054,3.8370044052863435,3.9324929971988793,3.94249692496925
0,44,0.3072,0.3448,0.348,3.8787,3.8102213541666665,3.91038283062645,3.907758620689655
0,45,0.3234,0.3108,0.3658,3.9116,3.857142857142857,3.951737451737452,3.9256424275560415
0,46,0.3467,0.271,0.3823,3.9213,3.867032016152293,3.9586715867158673,3.9440230185718024
0,47,0.3635,0.2765,0.36,3.9147,3.8286107290233837,3.943218806509946,3.979722222222222
0,48,0.3812,0.2947,0.3241,3.9092,3.8286988457502624,3.9491007804546996,3.9676025917926565
0,49,0.3684,0.3066,0.325,3.888,3.794516829533116,3.930202217873451,3.9541538461538464
0,50,0.3509,0.3139,0.3352,3.8805,3.800797948133371,3.909843899330997,3.93645584725537
0,51,0.3246,0.3226,0.3528,3.8783,3.7957486136783736,3.894916305021699,3.9390589569161
0,52,0.3381,0.3039,0.358,3.9026,3.8328896776101744,3.9114840408028955,3.9608938547486034
0,53,0.3532,0.2888,0.358,3.9264,3.8757078142695356,3.960872576177285,3.9486033519553074
0,54,0.3474,0.311,0.3416,3.911,3.869027058146229,3.941800643086817,3.9256440281030445
0,55,0.3632,0.3163,0.3205,3.8931,3.8807819383259914,3.9472020233955107,3.8536661466458657
0,56,0.3516,0.3323,0.3161,3.8832,3.870022753128555,3.9362022269034007,3.84213856374565
0,57,0.3253,0.3323,0.3424,3.8836,3.916999692591454,3.913933192897984,3.822429906542056
0,58,0.3147,0.3303,0.355,3.8941,3.9237368922783604,3.9200726612170755,3.843661971830986
0,59,0.3303,0.3108,0.3589,3.8783,3.915228580078716,3.9044401544401546,3.821677347450543
0,60,0.336,0.3102,0.3538,3.8919,3.907440476190476,3.9339136041263703,3.840305257207462
0,61,0.3518,0.3206,0.3276,3.8647,3.8786242183058555,3.897691827822832,3.8174603174603177
0,62,0.3594,0.3284,0.3122,3.8481,3.8497495826377297,3.9010353227771013,3.7905188981422167
0,63,0.3355,0.3357,0.3288,3.8454,3.8819672131147542,3.900506404527852,3.7518248175182483
0,64,0.2911,0.3523,0.3566,3.8514,3.8904156647200274,3.867158671586716,3.8039820527201345
0,65,0.2799,0.3353,0.3848,3.8584,3.9163987138263665,3.917685654637638,3.7645530145530146
0,66,0.2741,0.2871,0.4388,3.8686,3.9014958044509305,3.9021246952281436,3.826116681859617
0,67,0.2804,0.2645,0.4551,3.86,3.8894436519258204,3.9126654064272213,3.811250274664909
0,68,0.3003,0.2664,0.4333,3.8501,3.8701298701298703,3.8915165165165164,3.8107546734364184
0,69,0.3417,0.2692,0.3891,3.8334,3.8612818261633013,3.8815007429420505,3.7756360832690823
0,70,0.3493,0.2795,0.3712,3.8348,3.906384196965359,3.831484794275492,3.7699353448275863
0,71,0.3541,0.3122,0.3337,3.8249,3.878847783112115,3.799167200512492,3.7917290979922087
0,72,0.3569,0.3214,0.3217,3.8332,3.9024936957130847,3.788114499066584,3.801367733913584
0,73,0.3578,0.3187,0.3235,3.8176,3.858580212409167,3.7882020709130844,3.8012364760432766
0,74,0.3428,0.3289,0.3283,3.8147,3.838098016336056,3.77713590757069,3.8279013097776424
0,75,0.3416,0.3349,0.3235,3.8124,3.794789227166276,3.850701702000597,3.7913446676970635
0,76,0.3669,0.3042,0.3289,3.8105,3.7942218588171164,3.859303090072321,3.7835208269990876
0,77,0.3718,0.2946,0.3336,3.8015,3.8068854222700375,3.7807196198234894,3.8138489208633093
0,78,0.3806,0.3242,0.2952,3.8376,3.854177614293221,3.8146206045650835,3.841463414634146
0,79,0.3485,0.3284,0.3231,3.8041,3.8048780487804876,3.7375152253349575,3.870937790157846
0,80,0.3309,0.3092,0.3599,3.8195,3.7914777878513144,3.7972186287192757,3.864406779661017
0,81,0.326,0.3212,0.3528,3.8128,3.725766871165644,3.8602117061021173,3.8500566893424035
0,82,0.359,0.3164,0.3246,3.7799,3.677994428969359,3.859039190897598,3.815465187923598
0,83,0.3635,0.3096,0.3269,3.7816,3.705089408528198,3.8607881136950906,3.7916794126644233
0,84,0.3468,0.3352,0.318,3.8035,3.7341407151095733,3.863961813842482,3.8154088050314465
0,85,0.3296,0.3438,0.3266,3.8052,3.710861650485437,3.8589296102385107,3.8438456827924066
0,86,0.3261,0.331,0.3429,3.7849,3.6688132474701014,3.891238670694864,3.7926509186351707
0,87,0.3112,0.3398,0.349,3.8065,3.6780205655526994,3.8969982342554443,3.832951289398281
0,88,0.307,0.3499,0.3431,3.7928,3.601954397394137,3.9414118319519864,3.812008160886039
0,89,0.3181,0.3298,0.3521,3.7847,3.602326312480352,3.9029714978775014,3.8386821925589323
0,90,0.3276,0.3257,0.3467,3.8079,3.6382783882783882,3.919250844335278,3.8635708104989903
